"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
278.15,1,0,0.2,0,5
278.15,1,0.0098,0.2098,0,5
278.15,1,0.0196,0.2196,0,5
278.15,1,0.0294,0.2294,0,5
278.15,1,0.0392,0.2392,0,5
278.15,1,0.049,0.249,0,5
278.15,1,0.0588,0.2588,0,5
278.15,1,0.0686,0.2686,0,5
278.15,1,0.0784,0.2784,0,5
278.15,1,0.0882,0.2882,0,5
278.15,1,0.098,0.298,0,5
278.15,1,0.1078,0.3078,0,5
278.15,1,0.1176,0.3176,0,5
278.15,1,0.1274,0.3274,0,5
278.15,1,0.1372,0.3372,0,5
278.15,1,0.147,0.347,0,5
278.15,1,0.1568,0.3568,0,5
278.15,1,0.1666,0.3666,0,5
278.15,1,0.1764,0.3764,0,5
278.15,1,0.1862,0.3862,0,5
278.15,1,0.196,0.396,0,5
278.15,1,0.2058,0.4058,0,5
278.15,1,0.2156,0.4156,0,5
278.15,1,0.2254,0.4254,0,5
278.15,1,0.2352,0.4352,0,5
278.15,1,0.245,0.445,0,5
278.15,1,0.2548,0.4548,0,5
278.15,1,0.2646,0.4646,0,5
278.15,1,0.2744,0.4744,0,5
278.15,1,0.2842,0.4842,0,5
278.15,1,0.294,0.494,0,5
278.15,1,0.3038,0.5038,0,5
278.15,1,0.3136,0.5136,0,5
278.15,1,0.3234,0.5234,0,5
278.15,1,0.3332,0.5332,0,5
278.15,1,0.343,0.543,0,5
278.15,1,0.3528,0.5528,0,5
278.15,1,0.3626,0.5626,0,5
278.15,1,0.3724,0.5724,0,5
278.15,1,0.3822,0.5822,0,5
278.15,1,0.392,0.592,0,5
278.15,1,0.4018,0.6018,0,5
278.15,1,0.4116,0.6116,0,5
278.15,1,0.4214,0.6214,0,5
278.15,1,0.4312,0.6312,0,5
278.15,1,0.441,0.641,0,5
278.15,1,0.4508,0.6508,0,5
278.15,1,0.4606,0.6606,0,5
278.15,1,0.4704,0.6704,0,5
278.15,1,0.4802,0.6802,0,5
278.15,1,0.49,0.69,0,5
278.15,1,0.4998,0.6998,0,5
278.15,1,0.5096,0.7096,0,5
278.15,1,0.5194,0.7194,0,5
278.15,1,0.5292,0.7292,0,5
278.15,1,0.539,0.739,0,5
278.15,1,0.5488,0.7488,0,5
278.15,1,0.5586,0.7586,0,5
278.15,1,0.5684,0.7684,0,5
278.15,1,0.5782,0.7782,0,5
278.15,1,0.588,0.788,0,5
278.15,1,0.5978,0.7978,0,5
278.15,1,0.6076,0.8076,0,5
278.15,1,0.6174,0.8174,0,5
278.15,1,0.6272,0.8272,0,5
278.15,1,0.637,0.837,0,5
278.15,1,0.6468,0.8468,0,5
278.15,1,0.6566,0.8566,0,5
278.15,1,0.6664,0.8664,0,5
278.15,1,0.6762,0.8762,0,5
278.15,1,0.686,0.886,0,5
278.15,1,0.6958,0.8958,0,5
278.15,1,0.7056,0.9056,0,5
278.15,1,0.7154,0.9154,0,5
278.15,1,0.7252,0.9252,0,5
278.15,1,0.735,0.935,0,5
278.15,1,0.7448,0.9448,0,5
278.15,1,0.7546,0.9546,0,5
278.15,1,0.7644,0.9644,0,5
278.15,1,0.7742,0.9742,0,5
278.15,1,0.784,0.984,0,5
278.15,1,0.7938,0.9938,0,5
278.15,1,0.8036,1.0036,0,5
278.15,1,0.8134,1.0134,0,5
278.15,1,0.8232,1.0232,0,5
278.15,1,0.833,1.033,0,5
278.15,1,0.8428,1.0428,0,5
278.15,1,0.8526,1.0526,0,5
278.15,1,0.8624,1.0624,0,5
278.15,1,0.8722,1.0722,0,5
278.15,1,0.882,1.082,0,5
278.15,1,0.8918,1.0918,0,5
278.15,1,0.9016,1.1016,0,5
278.15,1,0.9114,1.1114,0,5
278.15,1,0.9212,1.1212,0,5
278.15,1,0.931,1.131,0,5
278.15,1,0.9408,1.1408,0,5
278.15,1,0.9506,1.1506,0,5
278.15,1,0.9604,1.1604,0,5
